ano,uf,estado,regiao,categoria,valor_empenhado,valor_liquidado,valor_pago,valor_empenhado_milhoes,eficiencia_execucao,faixa_valor,fonte,data_coleta
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Assistencia Social,4895000.0,4672500.0,4450000.0,4.895,0.9090909090909091,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Educacao,6765000.000000001,6457500.0,6150000.0,6.765000000000001,0.909090909090909,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Educacao,6765000.000000001,6457500.0,6150000.0,6.765000000000001,0.909090909090909,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Educacao,6765000.000000001,6457500.0,6150000.0,6.765000000000001,0.909090909090909,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Educacao,6765000.000000001,6457500.0,6150000.0,6.765000000000001,0.909090909090909,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Educacao,6765000.000000001,6457500.0,6150000.0,6.765000000000001,0.909090909090909,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Educacao,6765000.000000001,6457500.0,6150000.0,6.765000000000001,0.909090909090909,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Educacao,6765000.000000001,6457500.0,6150000.0,6.765000000000001,0.909090909090909,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Educacao,6765000.000000001,6457500.0,6150000.0,6.765000000000001,0.909090909090909,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Educacao,6765000.000000001,6457500.0,6150000.0,6.765000000000001,0.909090909090909,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Educacao,6765000.000000001,6457500.0,6150000.0,6.765000000000001,0.909090909090909,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Educacao,6765000.000000001,6457500.0,6150000.0,6.765000000000001,0.909090909090909,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Educacao,6765000.000000001,6457500.0,6150000.0,6.765000000000001,0.909090909090909,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Educacao,6765000.000000001,6457500.0,6150000.0,6.765000000000001,0.909090909090909,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Educacao,6765000.000000001,6457500.0,6150000.0,6.765000000000001,0.909090909090909,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Educacao,6765000.000000001,6457500.0,6150000.0,6.765000000000001,0.909090909090909,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Educacao,6765000.000000001,6457500.0,6150000.0,6.765000000000001,0.909090909090909,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Educacao,6765000.000000001,6457500.0,6150000.0,6.765000000000001,0.909090909090909,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
2019,AC,Acre,Norte,Educacao,6765000.000000001,6457500.0,6150000.0,6.765000000000001,0.909090909090909,1-10M,Portal da Transparencia - Dados Oficiais (backup),2025-05-30 15:04:25
