ano,regiao,idh
2019,Centro-Oeste,0.74925
2019,Nordeste,0.6557777777777778
2019,Norte,0.6798571428571429
2019,Sudeste,0.74975
2019,Sul,0.7523333333333334
2020,Centro-Oeste,0.75125
2020,Nordeste,0.6577777777777778
2020,Norte,0.6818571428571428
2020,Sudeste,0.75175
2020,Sul,0.7543333333333333
2021,Centro-Oeste,0.75325
2021,Nordeste,0.6597777777777778
2021,Norte,0.6838571428571428
2021,Sudeste,0.75375
2021,Sul,0.7563333333333334
2022,Centro-Oeste,0.75525
2022,Nordeste,0.6617777777777778
2022,Norte,0.6858571428571428
2022,Sudeste,0.75575
2022,Sul,0.7583333333333333
2023,Centro-Oeste,0.75725
2023,Nordeste,0.6637777777777778
2023,Norte,0.6878571428571428
2023,Sudeste,0.75775
2023,Sul,0.7603333333333334
